time;V(Net-_Q1-C_);
0.82528;0.0764445;
0.82628;0.0762607;
0.82728;0.0760783;
0.82828;0.0758974;
0.82928;0.075718;
0.83028;0.07554;
0.83128;0.0753634;
0.83228;0.0751882;
0.83328;0.0750144;
0.83428;0.074842;
0.83528;0.0746709;
0.83628;0.0745011;
0.83728;0.0743326;
0.83828;0.0741654;
0.83928;0.0739994;
0.84028;0.0738347;
0.84128;0.0736712;
0.84228;0.073509;
0.84328;0.0733479;
0.84428;0.073188;
0.84528;0.0730293;
0.84628;0.0728717;
0.84728;0.0727153;
0.84828;0.0725599;
0.84928;0.0724057;
0.85028;0.0722526;
0.85128;0.0721005;
0.85228;0.0719495;
0.85328;0.0717995;
0.85428;0.0716506;
0.85528;0.0715027;
0.85628;0.0713558;
0.85728;0.0712098;
0.85828;0.0710649;
0.85928;0.070921;
0.86028;0.070778;
0.86128;0.0706359;
0.86228;0.0704948;
0.86328;0.0703546;
0.86428;0.0702153;
0.86528;0.0700769;
0.86628;0.0699394;
0.86728;0.0698028;
0.86828;0.0696671;
0.86928;0.0695322;
0.87028;0.0693981;
0.87128;0.0692649;
0.87228;0.0691326;
0.87328;0.069001;
0.87428;0.0688703;
0.87528;0.0687404;
0.87628;0.0686112;
0.87728;0.0684829;
0.87828;0.0683553;
0.87928;0.0682285;
0.88028;0.0681025;
0.88128;0.0679772;
0.88228;0.0678526;
0.88328;0.0677288;
0.88428;0.0676057;
0.88528;0.0674833;
0.88628;0.0673616;
0.88728;0.0672407;
0.88828;0.0671204;
0.88928;0.0670008;
0.89028;0.0668819;
0.89128;0.0667637;
0.89228;0.0666462;
0.89328;0.0665293;
0.89428;0.066413;
0.89528;0.0662974;
0.89628;0.0661825;
0.89728;0.0660682;
0.89828;0.0659545;
0.89928;0.0658414;
0.9;0.0657604;
